    1,   AZ,   Total___LL,    7146.14,    95
    4,Total,   **tr2___LL,  893300.30,   665
    4,Total,   **tr2___SP,    4425.31,    22
    4,Total,   **tr3___LL,  462325.43,    13
    4,Total,   **tr3___SP,   68773.09,     1
Total,   AZ,   Total___LL,   14277.38,   251
Total,   AZ,   Total___SP,    3067.86,   158
Total,   AZ,Total___Total,   17345.24,   408
Total,   AZ,   **tr1___LL,    6191.73,   245
Total,   AZ,   **tr1___SP,    3067.86,   158
Total,   AZ,   **tr2___LL,    8085.65,     7
Total,   BE,   Total___LL, 2730163.37,  6956
Total,   BE,   Total___PA,    7003.80,    31
Total,   BE,   Total___SP, 3583358.64,  6492
Total,   BE,Total___Total, 6320525.81, 13478
Total,   BE,   **tr1___LL,  399106.48,  6115
Total,   BE,   **tr1___PA,    6911.06,    30
Total,   BE,   **tr1___SP,  318631.35,  5882
Total,   BE,   **tr2___LL, 1425820.73,   811
Total,   BE,   **tr2___PA,      92.74,     1
Total,   BE,   **tr2___SP, 1037073.34,   572
Total,   BE,   **tr3___LL,  905236.16,    30
Total,   BE,   **tr3___SP, 2227653.95,    39
Total,   FZ,   Total___LL,  401159.78, 13678
Total,   FZ,   Total___PA,     463.44,   857
Total,   FZ,   Total___SP,  402750.42, 15336
Total,   FZ,Total___Total,  804373.64, 29869
Total,   FZ,   **tr1___LL,  141567.58, 13094
Total,   FZ,   **tr1___PA,     463.44,   857
Total,   FZ,   **tr1___SP,  164157.88, 14779
Total,   FZ,   **tr2___LL,  238571.00,   579
Total,   FZ,   **tr2___SP,  122452.85,   552
Total,   FZ,   **tr3___LL,   21021.21,     5
Total,   FZ,   **tr3___SP,  116139.69,     5
Total,   GI,   Total___LL, 2169562.51, 35172
Total,   GI,   Total___PA,    1051.09,   189
Total,   GI,   Total___SP, 1934839.85, 29250
Total,   GI,Total___Total, 4105453.46, 64610
Total,   GI,   **tr1___LL,  841191.17, 33640
Total,   GI,   **tr1___PA,     701.82,   187
Total,   GI,   **tr1___SP,  895249.53, 28016
Total,   GI,   **tr2___LL,  935925.27,  1492
Total,   GI,   **tr2___PA,     349.27,     2
Total,   GI,   **tr2___SP,  542011.84,  1208
Total,   GI,   **tr3___LL,  392446.06,    41
Total,   GI,   **tr3___SP,  497578.48,    26
Total,   JZ,   Total___LL,  554820.79,  4987
Total,   JZ,   Total___PA,      60.05,     9
Total,   JZ,   Total___SP, 1133359.12,  3511
Total,   JZ,Total___Total, 1688239.96,  8506
Total,   JZ,   **tr1___LL,  137870.62,  4829
Total,   JZ,   **tr1___PA,      59.35,     8
Total,   JZ,   **tr1___SP,   90474.07,  3416
Total,   JZ,   **tr2___LL,  352619.05,   152
Total,   JZ,   **tr2___PA,       0.70,     1
Total,   JZ,   **tr2___SP,  127396.84,    85
Total,   JZ,   **tr3___LL,   64331.11,     7
Total,   JZ,   **tr3___SP,  915488.21,    10
Total,   KZ,   Total___LL,  301417.02,  4652
Total,   KZ,   Total___PA,    1270.42,    20
Total,   KZ,   Total___SP,  330334.20,  3898
Total,   KZ,Total___Total,  633021.64,  8569
Total,   KZ,   **tr1___LL,  279471.03,  4585
Total,   KZ,   **tr1___PA,    1270.42,    19
Total,   KZ,   **tr1___SP,  275789.03,  3847
Total,   KZ,   **tr2___LL,   20947.98,    66
Total,   KZ,   **tr2___PA,       0.00,     1
Total,   KZ,   **tr2___SP,   25785.38,    50
Total,   KZ,   **tr3___LL,     998.02,     1
Total,   KZ,   **tr3___SP,   28759.79,     1
Total,   LZ,   Total___LL, 1881692.25,  6765
Total,   LZ,   Total___PA,     480.64,    19
Total,   LZ,   Total___SP,  619032.42,  5781
Total,   LZ,Total___Total, 2501205.32, 12564
Total,   LZ,   **tr1___LL,  472043.29,  6707
Total,   LZ,   **tr1___PA,     480.64,    19
Total,   LZ,   **tr1___SP,  343245.93,  5725
Total,   LZ,   **tr2___LL,  569579.42,    55
Total,   LZ,   **tr2___SP,  274685.32,    55
Total,   LZ,   **tr3___LL,  840069.53,     3
Total,   LZ,   **tr3___SP,    1101.17,     1
Total,   MN,   Total___LL, 1435583.81, 24538
Total,   MN,   Total___PA,    2034.39,    96
Total,   MN,   Total___SP,  670278.65, 17990
Total,   MN,Total___Total, 2107896.86, 42624
Total,   MN,   **tr1___LL,  788743.16, 23744
Total,   MN,   **tr1___PA,    1951.49,    95
Total,   MN,   **tr1___SP,  289303.18, 17211
Total,   MN,   **tr2___LL,  385760.26,   768
Total,   MN,   **tr2___PA,      82.91,     1
Total,   MN,   **tr2___SP,  195960.27,   763
Total,   MN,   **tr3___LL,  261080.40,    27
Total,   MN,   **tr3___SP,  185015.21,    17
Total,   OQ,   Total___LL,  501944.32, 15038
Total,   OQ,   Total___PA,     143.88,    64
Total,   OQ,   Total___SP,  191043.06, 13134
Total,   OQ,Total___Total,  693131.25, 28235
Total,   OQ,   **tr1___LL,   96674.56, 14811
Total,   OQ,   **tr1___PA,     143.88,    64
Total,   OQ,   **tr1___SP,  102668.53, 12938
Total,   OQ,   **tr2___LL,   89931.85,   220
Total,   OQ,   **tr2___SP,   73468.06,   191
Total,   OQ,   **tr3___LL,  315337.91,     7
Total,   OQ,   **tr3___SP,   14906.48,     6
Total,   RU,   Total___LL,  178306.48, 13873
Total,   RU,   Total___PA,    2620.48,   161
Total,   RU,   Total___SP,  182097.09, 12231
Total,   RU,Total___Total,  363024.06, 26264
Total,   RU,   **tr1___LL,  118229.97, 13804
Total,   RU,   **tr1___PA,    2620.48,   161
Total,   RU,   **tr1___SP,  122658.25, 12121
Total,   RU,   **tr2___LL,   60076.51,    70
Total,   RU,   **tr2___SP,   51742.83,   109
Total,   RU,   **tr3___SP,    7696.01,     2
Total,Total,   Total___LL,10168927.71,125905
Total,Total,   Total___PA,   15128.19,  1444
Total,Total,   Total___SP, 9050161.32,107777
Total,Total,Total___Total,19234217.22,235125
Total,Total,   **tr1___LL, 3281089.58,121568
Total,Total,   **tr1___PA,   14602.58,  1438
Total,Total,   **tr1___SP, 2605245.60,104089
Total,Total,   **tr2___LL, 4087317.73,  4216
Total,Total,   **tr2___PA,     525.61,     6
Total,Total,   **tr2___SP, 2450576.73,  3582
Total,Total,   **tr3___LL, 2800520.40,   121
Total,Total,   **tr3___SP, 3994338.98,   107
